part,group
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,11
48,11
49,11
50,11
51,11
52,11
53,11
54,11
55,11
56,11
57,12
58,12
59,12
60,12
61,12
62,12
63,12
64,12
65,12
66,12
67,13
68,13
69,13
70,13
71,13
72,13
73,13
74,13
75,13
76,13
77,14
78,14
79,14
80,14
81,14
82,14
83,14
84,14
85,14
86,14
87,15
88,15
89,15
90,15
91,15
92,15
93,15
94,15
95,15
96,15
97,16
98,16
99,16
100,16
101,16
102,16
103,16
104,16
105,16
106,16
107,17
108,17
109,17
110,17
111,17
112,17
113,17
114,17
115,17
116,17
117,18
118,19
119,20
120,21
121,22
122,23
123,24
124,25
125,26
126,27
127,28
