part,op,time
1,1,1
1,2,3
1,3,3
1,4,3
1,5,4
1,6,1
2,1,6
2,2,5
2,3,1
2,4,2
2,5,2
2,6,6
3,1,2
3,2,1
3,3,1
3,4,3
3,5,5
3,6,5
4,1,1
4,2,5
4,3,3
4,4,2
4,5,1
4,6,4
5,1,6
5,2,6
5,3,3
5,4,5
5,5,2
5,6,3
6,1,3
6,2,1
6,3,6
6,4,5
6,5,1
6,6,6
7,1,2
7,2,4
7,3,2
8,1,1
8,2,3
8,3,3
8,4,3
8,5,4
8,6,1
9,1,6
9,2,5
9,3,1
9,4,2
9,5,2
9,6,6
10,1,4
10,2,2
10,3,1
11,1,4
11,2,2
11,3,1
12,1,28
12,2,3
13,1,1
14,1,1
15,1,1
15,2,1
15,3,1
16,1,1
16,2,1
16,3,1
17,1,1
17,2,1
17,3,1
18,1,1
18,2,1
18,3,1
19,1,1
19,2,1
19,3,1
20,1,1
20,2,1
20,3,1
21,1,1
21,2,1
21,3,2
22,1,1
22,2,1
22,3,2
23,1,1
24,1,1
25,1,2
26,1,2
27,1,28
27,2,3
28,1,1
29,1,1
30,1,1
31,1,1
32,1,10
33,1,2
33,2,2
34,1,2
34,2,2
35,1,2
35,2,2
36,1,14
37,1,7
38,1,7
39,1,7
40,1,7
41,1,7
42,1,2
43,1,2
44,1,2
45,1,2
46,1,2
47,1,2
48,1,2
49,1,2
50,1,2
51,1,1
52,1,7
53,1,2
54,1,2
55,1,1
56,1,4
56,2,3
57,1,13
58,1,10
59,1,13
60,1,3
61,1,13
62,1,13
63,1,1
63,2,1
63,3,1
63,4,2
63,5,1
63,6,5
64,1,2
65,1,1
66,1,1
67,1,1
68,1,5
68,2,1
69,1,5
69,2,1
70,1,1
71,1,3
71,2,1
72,1,1
72,2,1
73,1,1
73,2,1
74,1,1
75,1,1
75,2,1
76,1,1
76,2,1
77,1,1
77,2,1
78,1,1
78,2,1
79,1,1
79,2,1
80,1,1
80,2,1
81,1,1
81,2,1
82,1,1
82,2,1
83,1,1
83,2,1
84,1,1
84,2,1
85,1,1
85,2,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,5
90,2,1
91,1,5
91,2,1
92,1,2
93,1,2
94,1,2
95,1,2
96,1,2
97,1,1
98,1,1
99,1,4
100,1,2
101,1,2
102,1,1
103,1,2
104,1,2
105,1,1
105,2,4
106,1,1
106,2,4
107,1,1
107,2,4
108,1,1
108,2,4
109,1,1
109,2,4
110,1,1
110,2,4
111,1,1
111,2,4
112,1,2
112,2,1
113,1,5
113,2,3
113,3,4
113,4,6
113,5,1
113,6,6
114,1,4
114,2,2
114,3,3
114,4,4
114,5,3
114,6,2
115,1,4
115,2,6
115,3,3
115,4,1
115,5,1
115,6,2
116,1,3
116,2,4
116,3,3
116,4,4
116,5,3
116,6,5
117,1,1
117,2,1
118,1,1
118,2,6
118,3,5
118,4,4
118,5,1
118,6,2
119,1,2
119,2,1
119,3,4
119,4,2
119,5,5
119,6,3
120,1,2
120,2,3
120,3,5
120,4,1
120,5,2
120,6,3
121,1,3
121,2,3
121,3,1
121,4,6
121,5,4
121,6,4
122,1,1
122,2,1
122,3,2
122,4,5
122,5,2
122,6,2
123,1,1
123,2,4
123,3,3
123,4,2
123,5,4
123,6,6
124,1,1
124,2,4
124,3,3
124,4,2
124,5,4
124,6,6
125,1,1
125,2,4
125,3,3
125,4,2
125,5,4
125,6,6
126,1,1
126,2,4
126,3,3
126,4,2
126,5,4
126,6,6
127,1,1
127,2,4
127,3,3
127,4,2
127,5,4
127,6,6
