machine,part,op
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
1,2,1
2,2,2
3,2,3
4,2,4
5,2,5
1,3,1
2,3,2
3,3,3
4,3,4
5,3,5
1,4,1
2,4,2
3,4,3
4,4,4
5,4,5
1,5,1
2,5,2
3,5,3
4,5,4
5,5,5
1,6,1
2,6,2
3,6,3
4,6,4
5,6,5
1,7,1
2,7,2
3,7,3
4,7,4
5,7,5
1,8,1
2,8,2
3,8,3
4,8,4
5,8,5
1,9,1
2,9,2
3,9,3
4,9,4
5,9,5
1,10,1
2,10,2
3,10,3
4,10,4
5,10,5
1,11,1
2,11,2
3,11,3
4,11,4
5,11,5
1,12,1
2,12,2
3,12,3
4,12,4
5,12,5
1,13,1
2,13,2
3,13,3
4,13,4
5,13,5
1,14,1
2,14,2
3,14,3
4,14,4
5,14,5
1,15,1
2,15,2
3,15,3
4,15,4
5,15,5
1,16,1
2,16,2
3,16,3
4,16,4
5,16,5
1,17,1
2,17,2
3,17,3
4,17,4
5,17,5
1,18,1
2,18,2
3,18,3
4,18,4
5,18,5
1,19,1
2,19,2
3,19,3
4,19,4
5,19,5
1,20,1
2,20,2
3,20,3
4,20,4
5,20,5
